Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms),Month,Year_Month
2025-04-16,0.0,1589.4999850988388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-17,0.0,1589.4999850988388,106.8575319581659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3287889966920162,0.7218267385437805,0.2786534280088226,262.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-18,0.0,1589.4999850988393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-19,0.0,1589.499985098839,16.719205680529356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2786534280088226,0.2786534280088226,0.2786534280088226,35.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-20,1.0,1589.4999850988388,57.42683690268779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3634609971903644,0.3634609971903644,0.3634609971903644,120.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-21,0.0,1589.4999850988386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-22,11.0,1618.962837860724,628.3865775420553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2880809937610004,1.3192516780134065,0.2489586598870639,995.0,0.0,0.0,0.0,0.0,612495.0,0.0,April,2025-04
2025-04-23,35.0,1689.6222623721662,2540.0882175895,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7466618879846514,1.5508820279861115,0.2544226951384902,3554.0,0.0,0.0,0.0,0.0,2081414.0,0.0,April,2025-04
2025-04-24,6.0,1607.2085307850157,224.85262460379877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804986519404203,1.2389489731491288,0.2907687944439888,409.0,0.0,0.0,0.0,0.0,368138.0,0.0,April,2025-04
2025-04-25,9.0,1600.9894851076256,525.3526780160553,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3843920925921775,1.4714628833167929,0.2543497743757085,684.0,0.0,0.0,0.0,0.0,238852.0,0.0,April,2025-04
2025-04-26,13.0,1625.6699366718085,885.1711717313439,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396233903406461,1.5355093491596794,0.2544226951384902,1148.0,0.0,0.0,0.0,0.0,751927.0,0.0,April,2025-04
2025-04-27,54.0,1723.8638904871823,3578.1085099339703,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6024614497518043,1.48877100624947,0.2893295448498984,4856.0,0.0,0.0,0.0,0.0,2793255.0,0.0,April,2025-04
2025-04-28,0.0,1589.4999850988388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-04-29,25.0,1657.7528641514211,1655.467200795008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5399249365182744,1.3371921091148085,0.3634609816615969,2222.0,0.0,0.0,0.0,0.0,1418890.0,0.0,April,2025-04
2025-04-30,1.0,1589.4999850988388,95.9537021665163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3623245572577173,0.7186013390265072,0.302884160879155,204.0,0.0,0.0,0.0,0.0,0.0,0.0,April,2025-04
2025-05-01,34.0,1692.258143942412,2437.7130183449103,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4861455772151523,1.3986257928801478,0.2665380615736564,3338.0,0.0,0.0,0.0,0.0,2136210.0,0.0,May,2025-05
2025-05-02,2.0,1597.7954452813588,230.41300975460416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5539190388459383,1.3655493201417817,0.3149995273143212,530.0,0.0,0.0,0.0,0.0,172452.0,0.0,May,2025-05
2025-05-03,33.0,1675.762124519596,2089.339206118666,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5734324006546874,1.7877204715399355,0.2544226951384902,2844.0,0.0,0.0,0.0,0.0,1793280.0,0.0,May,2025-05
2025-05-04,48.0,1706.404034693177,3049.719477996196,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5141232846928144,1.4974345260666793,0.2786534280088226,4121.0,0.0,0.0,0.0,0.0,2430286.0,0.0,May,2025-05
2025-05-05,4.0,1589.499985098839,195.03946450591675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5286959057682574,1.2814943506828211,0.2544226951384902,392.0,0.0,0.0,0.0,0.0,0.0,0.0,May,2025-05
2025-05-06,39.0,1625.0288405510205,2289.97141962343,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280542638765049,1.4534397412063278,0.302884160879155,3229.0,0.0,0.0,0.0,0.0,738599.0,0.0,May,2025-05
2025-05-07,71.0,1757.028614531293,3702.0598127610674,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918562202717507,1.4124504838858332,0.2468604219555821,5112.0,0.0,0.0,0.0,683266.0,2749725.0,0.0,May,2025-05
2025-05-08,56.0,1695.6492807919867,3272.8679158614004,18.0,18.0,93.82978723404256,105.0,82.0,0.0,0.0,0.0,0.0,0.4254383258831936,1.9056378472056072,0.2445222745735348,3867.0,0.0,0.0,0.0,0.0,2206708.0,0.0,May,2025-05
